results,new_guess,words_remaining
 -G-G-,towny,101
 YG---,hilly,80
 -GG--,typic,63
 -Y---,tonic,284
 -Y-YY,staph,69
 -Y--Y,snath,120
 -Y-Y-,meant,157
 -Y--G,stoai,208
 -Y-GG,asdic,18
 -Y-G-,admin,25
 YY-Y-,plate,96
 -Y-YG,meant,62
 -YY--,trona,174
 YY-G-,bilge,13
 YYYG-,alist,5
 YY-GG,abmho,4
 YY---,aloin,202
 -YG-G,kombu,21
 -YYY-,tread,112
 -YGG-,audio,7
 -YGGG,acute,3
 -YG--,biota,49
 YY--G,clang,77
 -YYG-,tumid,18
 -YGY-,admit,15
 -YY-G,gript,78
 -YYYG,sharp,22
 YY-YY,shalt,18
 YYY--,glial,46
 YY-YG,slept,16
 YYYY-,algal,16
 YY--Y,stall,47
 YYY-G,aalii,4
 -YYYY,swipe,23
 YYYGG,arles,1
 -YYGG,arses,2
 -YY-Y,chart,41
 -Y-GY,ankhs,8
 -YYGY,adapt,3
 YYG--,amigo,12
 YG--G,built,59
 -G--G,tunic,218
 YG-G-,donga,17
 -G-GG,compt,101
 -G---,minty,270
 -G-Y-,cumin,43
 -GY--,robin,68
 -GYG-,right,81
 YGYG-,rowth,7
 YG-GG,bight,11
 YG--Y,stoai,23
 -GGY-,begat,16
 -GG-G,bundt,61
 -GGG-,decor,26
 -GGGG,batch,11
 -G-GY,dusty,14
 -GYGY,bosky,13
 -G--Y,synth,73
 -G-YY,thump,20
 ---Y-,tonic,390
 ---YG,cento,203
 Y--G-,doubt,92
 ---G-,donut,270
 --YYG,weird,66
 --YY-,droit,198
 Y--Y-,toile,170
 Y--YG,dwelt,71
 ---GG,point,245
 --GG-,dicot,37
 --GYG,kempt,38
 --GY-,meiny,70
 Y-GY-,anile,7
 ---GY,donut,70
 ---YY,point,168
 -----,tonic,613
 ----G,knout,535
 --YG-,dicot,239
 Y----,colin,234
 Y--GG,pilot,40
 Y---G,poult,192
 --G--,monty,93
 --G-G,tondi,101
 Y-G-G,bitch,12
 --GYY,vogue,26
 ----Y,south,240
 Y--YY,spelt,39
 Y-YG-,fluor,36
 Y-Y--,triol,40
 Y-Y-G,bills,8
 Y---Y,thiol,72
 --Y-G,grout,120
 --GGG,optic,34
 --Y--,count,227
 --YGG,ursid,43
 --Y-Y,shout,64
 --YYY,stoic,41
 Y-G--,child,7
 -YG-Y,sputa,16
 --G-Y,guyot,41
 YG-Y-,pubic,14
 -GYY-,chirp,12
 YGGY-,apace,4
 YGG-G,chafe,5
 YGG--,abamp,3
 -GGYY,campi,4
 Y-YY-,folic,14
 --YGY,swith,39
 YGGYG,earls,1
 -GGYG,earns,1
 YG-GY,easel,2
 -G-YG,abeam,3
 -YGYG,eyras,1
 -GY-G,rutin,32
 YG-YY,above,4
 YYGY-,feral,1
 Y--GY,pilot,17
 -GG-Y,hinky,9
 Y-GYG,herls,2
 Y-GG-,jurel,2
 GGY--,baiza,8
 GG-G-,wyted,15
 GG---,minty,23
 GGYG-,cadgy,9
 GG-GG,acned,9
 GG--G,munch,14
 GG-Y-,cheth,6
 GGY-G,lairs,1
 GG-YY,lapse,1
 GGG--,conky,7
 GGG-G,admin,4
 GGGG-,laree,1
 GGGGG,lares,1
 GGGY-,large,1
 GG-GY,lased,1
 GGYGY,laser,1
 GG--Y,aboil,3
 GY-Y-,thane,14
 GY-YG,drank,6
 GYYY-,learn,2
 GYYYG,lears,1
 GY-YY,berth,4
 G--G-,bovid,29
 G--GG,dingo,25
 G--Y-,togue,25
 G--YG,ident,13
 G-YYG,ahing,3
 G-YY-,acute,5
 G-YG-,begin,16
 G--YY,adown,5
 GY---,toman,25
 GYY--,audio,7
 GYY-G,liars,1
 G-Y--,libri,2
 G----,biont,51
 G---G,pinot,53
 GY--G,mount,11
 GYG-G,liras,1
 G-G--,acais,5
 GYG--,loral,2
 G-G-G,abide,3
 G-GGG,about,3
 G--GY,losel,2
 G-YGY,loser,1
 G---Y,about,4
 G-Y-G,lours,1
 G-GG-,lured,2
 GY-G-,lutea,2
 GY--Y,lyssa,1
 YGY--,cymar,8
 Y-YGG,aroid,4
 -GYGG,capiz,10
 YGY-G,rails,1
 -GYYY,raise,2
 YGYGG,rales,1
 -GY-Y,ambry,8
 YYYYG,reals,1
 Y-YYG,reels,2
 -GGGY,saree,1
 --GGY,dowie,16
 -YGYY,serac,2
 YYGYY,seral,1
 Y-Y-Y,blink,5
 Y-YGY,slier,2
 YYY-Y,snarl,2
 Y-GGY,sorel,1
 YYG-Y,sural,1
 Y-G-Y,surly,1
 YG-YG,taels,1
